"","Postcode","Locality","Average net tax 1","Percentage of total Average Tax paid","Average Salary 1","Percentage of Total State Income","Average Net Tax","Average Salary"
"1",3000,"MELBOURNE",20458,0.220486776,46100,0.141389102,0.198663964,0.251956247
"2",3001,"MELBOURNE",NA,NA,NA,NA,NA,NA
"3",3002,"EAST MELBOURNE",44063,0.474890449,78594,0.241048483,0.535599075,0.707628664
"4",3003,"WEST MELBOURNE",17485,0.188445169,56817,0.174258234,0.156227697,0.402243725
"5",3004,"MELBOURNE",36287,0.39108435,73999,0.226955578,0.424605327,0.643191698
"6",3004,"ST KILDA ROAD CENTRAL",36287,0.39108435,73999,0.226955578,0.424605327,0.643191698
"7",3004,"ST KILDA ROAD MELBOURNE",36287,0.39108435,73999,0.226955578,0.424605327,0.643191698
"8",3005,"WORLD TRADE CENTRE",NA,NA,NA,NA,NA,NA
"9",3006,"SOUTH WHARF",22507,0.242569942,64965,0.199248221,0.227911159,0.516505399
"10",3006,"SOUTHBANK",22507,0.242569942,64965,0.199248221,0.227911159,0.516505399
"11",3008,"DOCKLANDS",22530,0.242817825,65288,0.200238865,0.228239459,0.521034918
"12",3010,"UNIVERSITY OF MELBOURNE",27860,0.300262077,99443,0.304992547,0.304319278,1
"13",3011,"FOOTSCRAY",12864,0.138642188,51863,0.159064273,0.090268064,0.332772402
"14",3011,"SEDDON",12864,0.138642188,51863,0.159064273,0.090268064,0.332772402
"15",3011,"SEDDON WEST",12864,0.138642188,51863,0.159064273,0.090268064,0.332772402
"16",3012,"BROOKLYN",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"17",3012,"KINGSVILLE",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"18",3012,"KINGSVILLE WEST",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"19",3012,"MAIDSTONE",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"20",3012,"TOTTENHAM",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"21",3012,"WEST FOOTSCRAY",13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
"22",3013,"YARRAVILLE",18141,0.195515231,67399,0.20671332,0.165591367,0.550638059
"23",3013,"YARRAVILLE WEST",18141,0.195515231,67399,0.20671332,0.165591367,0.550638059
"24",3015,"NEWPORT",18748,0.202057194,69510,0.213187776,0.174255617,0.5802412
"25",3015,"SOUTH KINGSVILLE",18748,0.202057194,69510,0.213187776,0.174255617,0.5802412
"26",3015,"SPOTSWOOD",18748,0.202057194,69510,0.213187776,0.174255617,0.5802412
"27",3016,"WILLIAMSTOWN",26502,0.285626187,72497,0.222348931,0.284935339,0.622128734
"28",3016,"WILLIAMSTOWN NORTH",26502,0.285626187,72497,0.222348931,0.284935339,0.622128734
"29",3018,"ALTONA",15550,0.167590643,60152,0.184486708,0.128607725,0.449011359
"30",3018,"SEAHOLME",15550,0.167590643,60152,0.184486708,0.128607725,0.449011359
"31",3019,"BRAYBROOK",9041,0.097439678,43286,0.132758539,0.035698992,0.212494741
"32",3019,"BRAYBROOK NORTH",9041,0.097439678,43286,0.132758539,0.035698992,0.212494741
"33",3019,"ROBINSON",9041,0.097439678,43286,0.132758539,0.035698992,0.212494741
"34",3020,"ALBION",9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
"35",3020,"GLENGALA",9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
"36",3020,"SUNSHINE",9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
"37",3020,"SUNSHINE NORTH",9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
"38",3020,"SUNSHINE WEST",9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
"39",3021,"ALBANVALE",8679,0.093538211,42816,0.131317045,0.030531845,0.2059038
"40",3021,"KEALBA",8679,0.093538211,42816,0.131317045,0.030531845,0.2059038
"41",3021,"KINGS PARK",8679,0.093538211,42816,0.131317045,0.030531845,0.2059038
"42",3021,"ST ALBANS",8679,0.093538211,42816,0.131317045,0.030531845,0.2059038
"43",3022,"ARDEER",9581,0.103259546,47364,0.145265801,0.043406891,0.269681672
"44",3022,"DEER PARK EAST",9581,0.103259546,47364,0.145265801,0.043406891,0.269681672
"45",3023,"BURNSIDE",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"46",3023,"BURNSIDE HEIGHTS",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"47",3023,"CAIRNLEA",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"48",3023,"CAROLINE SPRINGS",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"49",3023,"DEER PARK",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"50",3023,"DEER PARK NORTH",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"51",3023,"RAVENHALL",11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
"52",3024,"FIELDSTONE",11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
"53",3024,"MAMBOURIN",11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
"54",3024,"MANOR LAKES",11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
"55",3024,"MOUNT COTTRELL",11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
"56",3024,"WYNDHAM VALE",11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
