Postcode,Locality
3000,MELBOURNE
3001,MELBOURNE
3002,EAST MELBOURNE
3003,WEST MELBOURNE
3004,MELBOURNE
3004,ST KILDA ROAD CENTRAL
3004,ST KILDA ROAD MELBOURNE
3005,WORLD TRADE CENTRE
3006,SOUTH WHARF
3006,SOUTHBANK
3008,DOCKLANDS
3010,UNIVERSITY OF MELBOURNE
3011,FOOTSCRAY
3011,SEDDON
3011,SEDDON WEST
3012,BROOKLYN
3012,KINGSVILLE
3012,KINGSVILLE WEST
3012,MAIDSTONE
3012,TOTTENHAM
3012,WEST FOOTSCRAY
3013,YARRAVILLE
3013,YARRAVILLE WEST
3015,NEWPORT
3015,SOUTH KINGSVILLE
3015,SPOTSWOOD
3016,WILLIAMSTOWN
3016,WILLIAMSTOWN NORTH
3018,ALTONA
3018,SEAHOLME
3019,BRAYBROOK
3019,BRAYBROOK NORTH
3019,ROBINSON
3020,ALBION
3020,GLENGALA
3020,SUNSHINE
3020,SUNSHINE NORTH
3020,SUNSHINE WEST
3021,ALBANVALE
3021,KEALBA
3021,KINGS PARK
3021,ST ALBANS
3022,ARDEER
3022,DEER PARK EAST
3023,BURNSIDE
3023,BURNSIDE HEIGHTS
3023,CAIRNLEA
3023,CAROLINE SPRINGS
3023,DEER PARK
3023,DEER PARK NORTH
3023,RAVENHALL
3024,FIELDSTONE
3024,MAMBOURIN
3024,MANOR LAKES
3024,MOUNT COTTRELL
3024,WYNDHAM VALE
3025,ALTONA EAST
3025,ALTONA GATE
3025,ALTONA NORTH
3026,DERRIMUT
3026,LAVERTON NORTH
3027,LAVERTON RAAF
3027,WILLIAMS LANDING
3027,WILLIAMS RAAF
3028,ALTONA MEADOWS
3028,LAVERTON
3028,SEABROOK
3029,HOPPERS CROSSING
3029,TARNEIT
3029,TRUGANINA
3030,CHARTWELL
3030,COCOROC
3030,POINT COOK
3030,QUANDONG
3030,WERRIBEE
3030,WERRIBEE SOUTH
3031,FLEMINGTON
3031,KENSINGTON
3032,ASCOT VALE
3032,HIGHPOINT CITY
3032,MARIBYRNONG
3032,TRAVANCORE
3033,KEILOR EAST
3034,AVONDALE HEIGHTS
3036,KEILOR
3036,KEILOR NORTH
3037,CALDER PARK
3037,DELAHEY
3037,HILLSIDE
3037,PLUMPTON
3037,SYDENHAM
3037,TAYLORS HILL
3038,KEILOR DOWNS
3038,KEILOR LODGE
3038,TAYLORS LAKES
3038,WATERGARDENS
3039,MOONEE PONDS
3040,ABERFELDIE
3040,ESSENDON
3040,ESSENDON WEST
3041,CROSS KEYS
3041,ESSENDON FIELDS
3041,ESSENDON NORTH
3041,STRATHMORE
